        NN     FT     ST      E       DCG
No.1: 0.000	 0.527	 0.761	 0.157	 0.813
No.2: 1.000	 0.266	 0.565	 0.065	 0.762
No.3: 1.000	 0.663	 0.891	 0.259	 0.932
No.4: 1.000	 0.505	 0.804	 0.176	 0.849
No.5: 1.000	 0.424	 0.603	 0.176	 0.811
No.6: 1.000	 0.446	 0.679	 0.157	 0.810
No.7: 0.000	 0.092	 0.310	 0.028	 0.634
No.8: 0.000	 0.174	 0.489	 0.028	 0.667
No.9: 0.000	 0.277	 0.505	 0.093	 0.749
No.10: 1.000	 0.467	 0.679	 0.231	 0.876
No.11: 0.000	 0.190	 0.429	 0.028	 0.672
No.12: 0.000	 0.538	 0.750	 0.194	 0.845
No.13: 1.000	 0.620	 0.870	 0.222	 0.909
No.14: 1.000	 0.707	 0.918	 0.231	 0.936
No.15: 0.000	 0.446	 0.826	 0.111	 0.765
No.16: 1.000	 0.538	 0.815	 0.185	 0.877
No.17: 1.000	 0.647	 0.913	 0.241	 0.928
No.18: 1.000	 0.484	 0.799	 0.102	 0.795
No.19: 1.000	 0.516	 0.734	 0.241	 0.897
No.20: 0.000	 0.087	 0.397	 0.009	 0.642
No.21: 0.000	 0.484	 0.826	 0.148	 0.843
No.22: 0.000	 0.663	 0.875	 0.222	 0.864
No.23: 0.000	 0.353	 0.592	 0.111	 0.752
No.24: 0.000	 0.092	 0.277	 0.028	 0.637
No.25: 0.000	 0.516	 0.810	 0.176	 0.849
No.26: 1.000	 0.636	 0.886	 0.250	 0.932
No.27: 1.000	 0.576	 0.804	 0.157	 0.871
No.28: 1.000	 0.690	 0.902	 0.231	 0.925
No.29: 1.000	 0.429	 0.804	 0.213	 0.868
No.30: 1.000	 0.630	 0.902	 0.213	 0.916
No.31: 1.000	 0.696	 0.918	 0.250	 0.926
No.32: 1.000	 0.527	 0.799	 0.148	 0.857
No.33: 0.000	 0.386	 0.696	 0.083	 0.751
No.34: 0.000	 0.641	 0.935	 0.241	 0.914
No.35: 0.000	 0.576	 0.821	 0.148	 0.838
No.36: 1.000	 0.397	 0.630	 0.176	 0.804
