        NN     FT     ST      E       DCG
No.1: 1.000	 0.408	 0.636	 0.231	 0.830
No.2: 0.000	 0.304	 0.543	 0.111	 0.722
No.3: 0.000	 0.103	 0.158	 0.019	 0.613
No.4: 0.000	 0.391	 0.582	 0.167	 0.758
No.5: 0.000	 0.092	 0.163	 0.056	 0.646
No.6: 0.000	 0.060	 0.163	 0.019	 0.599
No.7: 1.000	 0.299	 0.457	 0.111	 0.747
No.8: 1.000	 0.185	 0.375	 0.056	 0.696
No.9: 0.000	 0.033	 0.332	 0.000	 0.628
No.10: 0.000	 0.500	 0.804	 0.130	 0.798
No.11: 0.000	 0.168	 0.402	 0.037	 0.686
No.12: 0.000	 0.120	 0.304	 0.019	 0.637
No.13: 1.000	 0.125	 0.266	 0.046	 0.660
No.14: 0.000	 0.147	 0.364	 0.037	 0.653
No.15: 0.000	 0.321	 0.576	 0.130	 0.743
No.16: 0.000	 0.255	 0.424	 0.083	 0.721
No.17: 0.000	 0.190	 0.359	 0.046	 0.665
No.18: 0.000	 0.277	 0.587	 0.065	 0.718
No.19: 0.000	 0.353	 0.717	 0.056	 0.753
No.20: 1.000	 0.261	 0.408	 0.176	 0.783
No.21: 1.000	 0.087	 0.163	 0.083	 0.698
No.22: 0.000	 0.065	 0.255	 0.019	 0.629
No.23: 1.000	 0.505	 0.788	 0.120	 0.835
No.24: 0.000	 0.174	 0.337	 0.065	 0.665
No.25: 0.000	 0.207	 0.440	 0.102	 0.711
No.26: 0.000	 0.272	 0.473	 0.102	 0.707
No.27: 0.000	 0.120	 0.293	 0.037	 0.647
No.28: 0.000	 0.196	 0.391	 0.093	 0.715
No.29: 0.000	 0.168	 0.446	 0.037	 0.697
No.30: 1.000	 0.185	 0.315	 0.083	 0.700
No.31: 0.000	 0.130	 0.397	 0.000	 0.644
No.32: 0.000	 0.179	 0.255	 0.102	 0.708
No.33: 1.000	 0.163	 0.239	 0.083	 0.692
No.34: 1.000	 0.196	 0.370	 0.056	 0.697
No.35: 0.000	 0.500	 0.777	 0.157	 0.835
No.36: 1.000	 0.250	 0.397	 0.148	 0.784
No.37: 0.000	 0.103	 0.299	 0.000	 0.630
No.38: 0.000	 0.261	 0.484	 0.083	 0.745
No.39: 0.000	 0.239	 0.429	 0.046	 0.689
No.40: 0.000	 0.082	 0.277	 0.019	 0.627
No.41: 1.000	 0.348	 0.571	 0.120	 0.790
No.42: 0.000	 0.103	 0.141	 0.093	 0.659
No.43: 0.000	 0.125	 0.310	 0.028	 0.644
No.44: 1.000	 0.332	 0.527	 0.148	 0.759
No.45: 0.000	 0.087	 0.288	 0.028	 0.644
No.46: 0.000	 0.359	 0.587	 0.093	 0.772
No.47: 0.000	 0.364	 0.712	 0.093	 0.760
No.48: 1.000	 0.451	 0.690	 0.222	 0.853
No.49: 0.000	 0.179	 0.342	 0.102	 0.704
No.50: 1.000	 0.174	 0.337	 0.093	 0.720
No.51: 0.000	 0.000	 0.000	 0.000	 0.222
No.52: 0.000	 0.000	 0.000	 0.054	 0.216
No.53: 0.000	 0.000	 0.000	 0.000	 0.153
No.54: 0.000	 0.000	 0.000	 0.162	 0.243
No.55: 0.000	 0.000	 0.000	 0.054	 0.226
No.56: 0.000	 0.000	 0.000	 0.000	 0.149
No.57: 0.000	 0.000	 0.000	 0.000	 0.174
No.58: 0.000	 0.000	 0.000	 0.000	 0.142
No.59: 0.000	 0.000	 0.200	 0.108	 0.287
No.60: 0.000	 0.000	 0.000	 0.000	 0.179
No.61: 0.000	 0.000	 0.000	 0.108	 0.227
No.62: 0.000	 0.000	 0.000	 0.054	 0.215
No.63: 0.000	 0.000	 0.000	 0.000	 0.168
No.64: 0.000	 0.000	 0.000	 0.000	 0.186
No.65: 0.000	 0.000	 0.000	 0.000	 0.172
No.66: 0.000	 0.000	 0.000	 0.000	 0.165
No.67: 0.000	 0.000	 0.000	 0.000	 0.180
No.68: 0.000	 0.000	 0.200	 0.054	 0.263
No.69: 0.000	 0.000	 0.200	 0.108	 0.267
No.70: 0.000	 0.000	 0.000	 0.000	 0.176
No.71: 0.000	 0.000	 0.000	 0.054	 0.225
No.72: 0.000	 0.000	 0.000	 0.000	 0.205
No.73: 0.000	 0.200	 0.200	 0.108	 0.317
No.74: 0.000	 0.000	 0.000	 0.000	 0.176
No.75: 0.000	 0.200	 0.200	 0.054	 0.269
No.76: 0.000	 0.000	 0.000	 0.108	 0.268
No.77: 0.000	 0.000	 0.000	 0.000	 0.163
No.78: 0.000	 0.000	 0.000	 0.054	 0.203
No.79: 0.000	 0.000	 0.000	 0.000	 0.187
No.80: 0.000	 0.000	 0.000	 0.000	 0.182
No.81: 0.000	 0.000	 0.000	 0.000	 0.207
No.82: 0.000	 0.000	 0.000	 0.000	 0.182
No.83: 0.000	 0.000	 0.000	 0.054	 0.215
No.84: 0.000	 0.000	 0.000	 0.000	 0.141
No.85: 0.000	 0.000	 0.000	 0.000	 0.185
No.86: 0.000	 0.000	 0.000	 0.000	 0.162
No.87: 0.000	 0.000	 0.000	 0.000	 0.139
No.88: 0.000	 0.000	 0.200	 0.108	 0.259
No.89: 0.000	 0.000	 0.000	 0.000	 0.172
No.90: 0.000	 0.000	 0.000	 0.000	 0.152
No.91: 0.000	 0.000	 0.000	 0.000	 0.147
No.92: 0.000	 0.200	 0.200	 0.054	 0.439
No.93: 0.000	 0.000	 0.000	 0.054	 0.228
No.94: 0.000	 0.000	 0.200	 0.054	 0.239
No.95: 0.000	 0.000	 0.000	 0.000	 0.145
No.96: 0.000	 0.000	 0.000	 0.000	 0.150
No.97: 0.000	 0.000	 0.000	 0.000	 0.190
No.98: 0.000	 0.000	 0.200	 0.108	 0.280
No.99: 1.000	 0.200	 0.200	 0.108	 0.455
No.100: 1.000	 0.200	 0.200	 0.054	 0.441
No.101: 0.000	 0.000	 0.000	 0.000	 0.135
No.102: 0.000	 0.000	 0.000	 0.056	 0.208
No.103: 0.000	 0.000	 0.000	 0.000	 0.147
No.104: 0.000	 0.000	 0.000	 0.000	 0.130
No.105: 0.000	 0.000	 0.000	 0.000	 0.132
No.106: 0.000	 0.000	 0.000	 0.000	 0.158
No.107: 0.000	 0.000	 0.000	 0.000	 0.134
No.108: 0.000	 0.000	 0.000	 0.000	 0.139
No.109: 0.000	 0.000	 0.000	 0.000	 0.151
No.110: 0.000	 0.000	 0.000	 0.000	 0.142
No.111: 0.000	 0.000	 0.000	 0.000	 0.143
No.112: 0.000	 0.000	 0.000	 0.000	 0.151
No.113: 0.000	 0.000	 0.000	 0.000	 0.138
No.114: 0.000	 0.000	 0.000	 0.000	 0.153
No.115: 0.000	 0.000	 0.000	 0.000	 0.135
No.116: 0.000	 0.000	 0.000	 0.000	 0.134
No.117: 0.000	 0.000	 0.000	 0.000	 0.143
No.118: 0.000	 0.000	 0.000	 0.000	 0.150
No.119: 0.000	 0.000	 0.000	 0.056	 0.186
No.120: 0.000	 0.000	 0.000	 0.000	 0.165
No.121: 0.000	 0.000	 0.000	 0.000	 0.152
No.122: 0.000	 0.000	 0.000	 0.000	 0.138
No.123: 0.000	 0.000	 0.000	 0.000	 0.132
No.124: 0.000	 0.000	 0.000	 0.000	 0.134
No.125: 0.000	 0.000	 0.000	 0.000	 0.137
No.126: 0.000	 0.000	 0.000	 0.000	 0.130
No.127: 0.000	 0.000	 0.000	 0.000	 0.135
No.128: 0.000	 0.000	 0.000	 0.000	 0.132
No.129: 0.000	 0.000	 0.000	 0.000	 0.135
No.130: 0.000	 0.000	 0.000	 0.000	 0.154
No.131: 0.000	 0.000	 0.000	 0.000	 0.183
No.132: 0.000	 0.000	 0.000	 0.000	 0.140
No.133: 0.000	 0.000	 0.000	 0.000	 0.144
No.134: 0.000	 0.000	 0.000	 0.000	 0.153
No.135: 0.000	 0.000	 0.000	 0.056	 0.222
No.136: 0.000	 0.000	 0.000	 0.000	 0.145
No.137: 0.000	 0.000	 0.000	 0.000	 0.162
No.138: 0.000	 0.000	 0.000	 0.000	 0.145
No.139: 0.000	 0.000	 0.000	 0.000	 0.156
No.140: 0.000	 0.000	 0.000	 0.056	 0.200
No.141: 0.000	 0.000	 0.000	 0.111	 0.244
No.142: 0.000	 0.000	 0.000	 0.000	 0.137
No.143: 0.000	 0.000	 0.000	 0.000	 0.141
No.144: 0.000	 0.000	 0.000	 0.000	 0.150
No.145: 0.000	 0.000	 0.000	 0.000	 0.138
No.146: 0.000	 0.000	 0.000	 0.000	 0.145
No.147: 0.000	 0.000	 0.000	 0.000	 0.129
No.148: 0.000	 0.000	 0.000	 0.056	 0.192
No.149: 0.000	 0.000	 0.000	 0.000	 0.139
No.150: 0.000	 0.000	 0.000	 0.000	 0.133
No.151: 0.000	 0.000	 0.000	 0.108	 0.253
No.152: 0.000	 0.000	 0.000	 0.000	 0.176
No.153: 0.000	 0.000	 0.000	 0.000	 0.203
No.154: 0.000	 0.000	 0.000	 0.000	 0.184
No.155: 0.000	 0.000	 0.000	 0.000	 0.204
No.156: 0.000	 0.000	 0.000	 0.000	 0.201
No.157: 0.000	 0.000	 0.000	 0.000	 0.186
No.158: 1.000	 0.200	 0.200	 0.054	 0.431
No.159: 0.000	 0.000	 0.000	 0.000	 0.186
No.160: 0.000	 0.000	 0.000	 0.000	 0.197
No.161: 0.000	 0.000	 0.000	 0.054	 0.217
No.162: 0.000	 0.000	 0.000	 0.000	 0.152
No.163: 0.000	 0.400	 0.600	 0.162	 0.593
No.164: 0.000	 0.000	 0.000	 0.000	 0.165
No.165: 0.000	 0.000	 0.000	 0.000	 0.201
No.166: 0.000	 0.000	 0.200	 0.108	 0.268
No.167: 0.000	 0.000	 0.000	 0.054	 0.226
No.168: 0.000	 0.000	 0.200	 0.108	 0.282
No.169: 0.000	 0.200	 0.400	 0.108	 0.384
No.170: 0.000	 0.000	 0.000	 0.000	 0.181
No.171: 0.000	 0.000	 0.000	 0.000	 0.180
No.172: 0.000	 0.000	 0.000	 0.000	 0.174
No.173: 0.000	 0.000	 0.000	 0.000	 0.148
No.174: 0.000	 0.000	 0.000	 0.108	 0.236
No.175: 0.000	 0.200	 0.200	 0.054	 0.445
No.176: 0.000	 0.000	 0.000	 0.054	 0.227
No.177: 0.000	 0.000	 0.000	 0.054	 0.208
No.178: 1.000	 0.400	 0.400	 0.162	 0.560
No.179: 1.000	 0.200	 0.400	 0.108	 0.513
No.180: 0.000	 0.000	 0.000	 0.000	 0.200
No.181: 0.000	 0.000	 0.000	 0.108	 0.258
No.182: 0.000	 0.000	 0.000	 0.000	 0.187
No.183: 0.000	 0.000	 0.000	 0.000	 0.163
No.184: 0.000	 0.000	 0.200	 0.108	 0.288
No.185: 0.000	 0.000	 0.000	 0.000	 0.164
No.186: 0.000	 0.000	 0.200	 0.054	 0.249
No.187: 0.000	 0.000	 0.000	 0.000	 0.169
No.188: 0.000	 0.000	 0.000	 0.000	 0.205
No.189: 0.000	 0.000	 0.000	 0.000	 0.186
No.190: 0.000	 0.000	 0.000	 0.000	 0.189
No.191: 0.000	 0.000	 0.000	 0.108	 0.236
No.192: 0.000	 0.000	 0.000	 0.000	 0.193
No.193: 0.000	 0.000	 0.000	 0.000	 0.185
No.194: 0.000	 0.000	 0.200	 0.054	 0.275
No.195: 0.000	 0.000	 0.000	 0.000	 0.156
No.196: 0.000	 0.000	 0.000	 0.000	 0.163
No.197: 0.000	 0.000	 0.000	 0.000	 0.145
No.198: 0.000	 0.000	 0.000	 0.000	 0.164
No.199: 0.000	 0.000	 0.000	 0.000	 0.201
No.200: 1.000	 0.400	 0.600	 0.162	 0.725
No.201: 0.000	 0.125	 0.125	 0.050	 0.285
No.202: 0.000	 0.125	 0.125	 0.050	 0.272
No.203: 1.000	 0.250	 0.250	 0.150	 0.459
No.204: 0.000	 0.000	 0.000	 0.000	 0.224
No.205: 0.000	 0.000	 0.125	 0.050	 0.246
No.206: 0.000	 0.000	 0.125	 0.050	 0.273
No.207: 0.000	 0.000	 0.000	 0.050	 0.234
No.208: 0.000	 0.000	 0.000	 0.000	 0.199
No.209: 0.000	 0.125	 0.125	 0.050	 0.402
No.210: 0.000	 0.125	 0.125	 0.050	 0.268
No.211: 0.000	 0.000	 0.000	 0.050	 0.248
No.212: 0.000	 0.000	 0.000	 0.000	 0.236
No.213: 0.000	 0.000	 0.000	 0.000	 0.217
No.214: 0.000	 0.000	 0.000	 0.000	 0.203
No.215: 0.000	 0.000	 0.000	 0.000	 0.202
No.216: 0.000	 0.000	 0.000	 0.000	 0.228
No.217: 0.000	 0.000	 0.000	 0.000	 0.202
No.218: 0.000	 0.000	 0.000	 0.000	 0.255
No.219: 0.000	 0.000	 0.000	 0.000	 0.230
No.220: 0.000	 0.000	 0.000	 0.000	 0.216
No.221: 0.000	 0.125	 0.125	 0.150	 0.293
No.222: 0.000	 0.250	 0.250	 0.250	 0.356
No.223: 0.000	 0.000	 0.000	 0.000	 0.182
No.224: 0.000	 0.000	 0.000	 0.000	 0.210
No.225: 0.000	 0.000	 0.000	 0.050	 0.261
No.226: 0.000	 0.125	 0.125	 0.050	 0.317
No.227: 0.000	 0.125	 0.125	 0.050	 0.298
No.228: 0.000	 0.000	 0.000	 0.000	 0.210
No.229: 0.000	 0.000	 0.000	 0.000	 0.211
No.230: 0.000	 0.000	 0.000	 0.000	 0.217
No.231: 0.000	 0.000	 0.000	 0.050	 0.219
No.232: 0.000	 0.000	 0.000	 0.000	 0.216
No.233: 0.000	 0.000	 0.000	 0.050	 0.228
No.234: 0.000	 0.000	 0.000	 0.000	 0.182
No.235: 0.000	 0.000	 0.000	 0.050	 0.232
No.236: 0.000	 0.000	 0.000	 0.000	 0.183
No.237: 0.000	 0.000	 0.000	 0.000	 0.199
No.238: 0.000	 0.125	 0.125	 0.050	 0.319
No.239: 0.000	 0.125	 0.125	 0.100	 0.338
No.240: 0.000	 0.000	 0.000	 0.000	 0.207
No.241: 0.000	 0.000	 0.000	 0.050	 0.260
No.242: 0.000	 0.000	 0.125	 0.050	 0.261
No.243: 0.000	 0.000	 0.000	 0.050	 0.244
No.244: 0.000	 0.000	 0.000	 0.000	 0.220
No.245: 0.000	 0.000	 0.000	 0.000	 0.196
No.246: 0.000	 0.000	 0.000	 0.000	 0.193
No.247: 0.000	 0.000	 0.000	 0.050	 0.270
No.248: 0.000	 0.000	 0.000	 0.000	 0.190
No.249: 0.000	 0.125	 0.125	 0.050	 0.292
No.250: 0.000	 0.125	 0.125	 0.100	 0.423
No.251: 0.000	 0.000	 0.000	 0.000	 0.212
No.252: 0.000	 0.000	 0.000	 0.056	 0.216
No.253: 0.000	 0.000	 0.000	 0.000	 0.152
No.254: 0.000	 0.000	 0.000	 0.056	 0.212
No.255: 0.000	 0.000	 0.000	 0.000	 0.145
No.256: 0.000	 0.000	 0.000	 0.056	 0.198
No.257: 0.000	 0.000	 0.000	 0.000	 0.177
No.258: 0.000	 0.000	 0.000	 0.000	 0.152
No.259: 1.000	 0.250	 0.250	 0.056	 0.433
No.260: 0.000	 0.000	 0.250	 0.056	 0.258
No.261: 0.000	 0.000	 0.000	 0.000	 0.176
No.262: 0.000	 0.000	 0.000	 0.000	 0.174
No.263: 0.000	 0.000	 0.000	 0.000	 0.154
No.264: 1.000	 0.250	 0.250	 0.056	 0.440
No.265: 0.000	 0.250	 0.250	 0.111	 0.365
No.266: 0.000	 0.000	 0.000	 0.000	 0.164
No.267: 0.000	 0.000	 0.000	 0.056	 0.189
No.268: 0.000	 0.000	 0.000	 0.000	 0.160
No.269: 0.000	 0.000	 0.000	 0.056	 0.225
No.270: 0.000	 0.000	 0.000	 0.000	 0.182
No.271: 0.000	 0.000	 0.000	 0.056	 0.206
No.272: 0.000	 0.000	 0.000	 0.000	 0.174
No.273: 0.000	 0.000	 0.000	 0.000	 0.170
No.274: 0.000	 0.250	 0.250	 0.056	 0.359
No.275: 0.000	 0.000	 0.250	 0.056	 0.265
No.276: 0.000	 0.000	 0.000	 0.000	 0.177
No.277: 0.000	 0.000	 0.000	 0.000	 0.163
No.278: 0.000	 0.000	 0.000	 0.000	 0.159
No.279: 0.000	 0.000	 0.000	 0.056	 0.166
No.280: 0.000	 0.000	 0.000	 0.000	 0.172
No.281: 0.000	 0.000	 0.000	 0.000	 0.175
No.282: 0.000	 0.000	 0.000	 0.056	 0.210
No.283: 0.000	 0.000	 0.000	 0.000	 0.144
No.284: 0.000	 0.000	 0.000	 0.000	 0.183
No.285: 0.000	 0.000	 0.000	 0.000	 0.138
No.286: 0.000	 0.000	 0.000	 0.000	 0.195
No.287: 0.000	 0.000	 0.000	 0.000	 0.155
No.288: 0.000	 0.250	 0.250	 0.056	 0.282
No.289: 0.000	 0.000	 0.000	 0.000	 0.130
No.290: 0.000	 0.000	 0.000	 0.000	 0.149
No.291: 0.000	 0.000	 0.000	 0.056	 0.211
No.292: 0.000	 0.000	 0.000	 0.000	 0.172
No.293: 0.000	 0.000	 0.000	 0.000	 0.137
No.294: 0.000	 0.000	 0.000	 0.056	 0.206
No.295: 0.000	 0.000	 0.000	 0.000	 0.133
No.296: 0.000	 0.000	 0.250	 0.056	 0.255
No.297: 0.000	 0.000	 0.000	 0.056	 0.181
No.298: 0.000	 0.000	 0.000	 0.000	 0.188
No.299: 0.000	 0.250	 0.250	 0.056	 0.456
No.300: 0.000	 0.000	 0.000	 0.000	 0.140
No.301: 0.000	 0.143	 0.286	 0.154	 0.485
No.302: 1.000	 0.286	 0.286	 0.205	 0.577
No.303: 0.000	 0.143	 0.143	 0.154	 0.349
No.304: 0.000	 0.000	 0.000	 0.000	 0.217
No.305: 0.000	 0.000	 0.143	 0.154	 0.284
No.306: 0.000	 0.143	 0.143	 0.154	 0.390
No.307: 0.000	 0.143	 0.143	 0.103	 0.312
No.308: 0.000	 0.000	 0.000	 0.000	 0.243
No.309: 1.000	 0.429	 0.429	 0.154	 0.693
No.310: 0.000	 0.000	 0.000	 0.154	 0.300
No.311: 0.000	 0.000	 0.000	 0.051	 0.274
No.312: 0.000	 0.143	 0.143	 0.205	 0.490
No.313: 0.000	 0.143	 0.143	 0.051	 0.437
No.314: 0.000	 0.000	 0.000	 0.000	 0.240
No.315: 0.000	 0.286	 0.286	 0.205	 0.391
No.316: 0.000	 0.000	 0.000	 0.000	 0.208
No.317: 0.000	 0.143	 0.286	 0.205	 0.398
No.318: 0.000	 0.000	 0.000	 0.000	 0.242
No.319: 0.000	 0.000	 0.000	 0.205	 0.306
No.320: 0.000	 0.000	 0.000	 0.000	 0.225
No.321: 0.000	 0.000	 0.286	 0.154	 0.329
No.322: 0.000	 0.000	 0.000	 0.103	 0.284
No.323: 0.000	 0.000	 0.143	 0.205	 0.347
No.324: 0.000	 0.000	 0.143	 0.205	 0.326
No.325: 0.000	 0.000	 0.143	 0.103	 0.294
No.326: 0.000	 0.143	 0.143	 0.103	 0.349
No.327: 0.000	 0.000	 0.000	 0.051	 0.275
No.328: 0.000	 0.143	 0.286	 0.205	 0.514
No.329: 0.000	 0.143	 0.143	 0.205	 0.344
No.330: 0.000	 0.000	 0.286	 0.154	 0.327
No.331: 0.000	 0.143	 0.286	 0.154	 0.417
No.332: 0.000	 0.000	 0.000	 0.103	 0.264
No.333: 0.000	 0.000	 0.286	 0.103	 0.336
No.334: 0.000	 0.143	 0.286	 0.205	 0.361
No.335: 1.000	 0.286	 0.571	 0.205	 0.575
No.336: 0.000	 0.000	 0.000	 0.103	 0.300
No.337: 0.000	 0.000	 0.000	 0.051	 0.259
