        NN     FT     ST      E       DCG
No.1: 1.000	 0.674	 0.810	 0.250	 0.927
No.2: 1.000	 0.641	 0.826	 0.194	 0.908
No.3: 1.000	 0.582	 0.783	 0.185	 0.887
No.4: 0.000	 0.685	 0.848	 0.194	 0.889
No.5: 0.000	 0.543	 0.701	 0.194	 0.805
No.6: 0.000	 0.543	 0.772	 0.250	 0.847
No.7: 0.000	 0.168	 0.505	 0.000	 0.652
No.8: 0.000	 0.522	 0.690	 0.157	 0.806
No.9: 1.000	 0.565	 0.788	 0.185	 0.866
No.10: 0.000	 0.630	 0.772	 0.241	 0.896
No.11: 0.000	 0.478	 0.783	 0.093	 0.762
No.12: 0.000	 0.565	 0.772	 0.185	 0.845
No.13: 0.000	 0.549	 0.766	 0.176	 0.840
No.14: 0.000	 0.696	 0.886	 0.213	 0.856
No.15: 0.000	 0.418	 0.783	 0.046	 0.732
No.16: 0.000	 0.511	 0.766	 0.139	 0.785
No.17: 1.000	 0.630	 0.783	 0.250	 0.914
No.18: 0.000	 0.603	 0.815	 0.148	 0.833
No.19: 1.000	 0.717	 0.842	 0.278	 0.948
No.20: 0.000	 0.223	 0.565	 0.000	 0.668
No.21: 0.000	 0.587	 0.793	 0.102	 0.784
No.22: 1.000	 0.685	 0.837	 0.194	 0.916
No.23: 0.000	 0.467	 0.712	 0.120	 0.759
No.24: 0.000	 0.255	 0.516	 0.000	 0.674
No.25: 0.000	 0.598	 0.897	 0.167	 0.818
No.26: 0.000	 0.647	 0.848	 0.241	 0.894
No.27: 1.000	 0.609	 0.804	 0.185	 0.891
No.28: 0.000	 0.717	 0.929	 0.213	 0.864
No.29: 1.000	 0.647	 0.821	 0.185	 0.910
No.30: 0.000	 0.630	 0.826	 0.176	 0.842
No.31: 0.000	 0.707	 0.853	 0.222	 0.899
No.32: 1.000	 0.630	 0.810	 0.222	 0.915
No.33: 1.000	 0.571	 0.788	 0.213	 0.894
No.34: 0.000	 0.641	 0.880	 0.204	 0.855
No.35: 0.000	 0.630	 0.799	 0.148	 0.818
No.36: 0.000	 0.473	 0.641	 0.139	 0.781
No.37: 0.000	 0.712	 0.924	 0.213	 0.863
No.38: 1.000	 0.707	 0.859	 0.296	 0.962
No.39: 1.000	 0.663	 0.804	 0.259	 0.933
No.40: 1.000	 0.609	 0.810	 0.194	 0.868
No.41: 1.000	 0.630	 0.821	 0.231	 0.920
No.42: 0.000	 0.582	 0.804	 0.167	 0.830
No.43: 1.000	 0.598	 0.799	 0.176	 0.870
No.44: 1.000	 0.652	 0.853	 0.250	 0.917
No.45: 1.000	 0.652	 0.804	 0.278	 0.934
No.46: 1.000	 0.690	 0.848	 0.231	 0.931
No.47: 0.000	 0.402	 0.755	 0.009	 0.718
No.48: 0.000	 0.587	 0.777	 0.176	 0.861
No.49: 1.000	 0.679	 0.837	 0.213	 0.905
No.50: 1.000	 0.652	 0.848	 0.241	 0.891
No.51: 0.000	 0.522	 0.745	 0.130	 0.782
No.52: 0.000	 0.511	 0.777	 0.185	 0.802
No.53: 0.000	 0.527	 0.804	 0.056	 0.764
No.54: 1.000	 0.712	 0.859	 0.296	 0.962
No.55: 0.000	 0.092	 0.462	 0.000	 0.639
No.56: 0.000	 0.560	 0.772	 0.167	 0.804
No.57: 1.000	 0.728	 0.929	 0.222	 0.904
No.58: 1.000	 0.598	 0.793	 0.176	 0.859
No.59: 0.000	 0.636	 0.859	 0.204	 0.860
No.60: 0.000	 0.690	 0.848	 0.194	 0.889
No.61: 0.000	 0.337	 0.668	 0.065	 0.716
No.62: 1.000	 0.641	 0.815	 0.194	 0.909
No.63: 0.000	 0.527	 0.880	 0.000	 0.752
No.64: 1.000	 0.571	 0.766	 0.213	 0.894
No.65: 0.000	 0.293	 0.549	 0.009	 0.689
No.66: 1.000	 0.652	 0.842	 0.241	 0.929
No.67: 1.000	 0.625	 0.712	 0.250	 0.920
No.68: 0.000	 0.571	 0.772	 0.185	 0.829
No.69: 0.000	 0.364	 0.658	 0.046	 0.723
No.70: 0.000	 0.397	 0.685	 0.037	 0.726
No.71: 0.000	 0.614	 0.848	 0.222	 0.853
No.72: 1.000	 0.728	 0.848	 0.269	 0.949
No.73: 1.000	 0.679	 0.859	 0.222	 0.898
No.74: 0.000	 0.690	 0.875	 0.185	 0.844
No.75: 0.000	 0.603	 0.799	 0.167	 0.864
