        NN     FT     ST      E       DCG
No.1: 0.000	 0.484	 0.837	 0.019	 0.743
No.2: 0.000	 0.630	 0.826	 0.213	 0.868
No.3: 0.000	 0.326	 0.674	 0.074	 0.735
No.4: 1.000	 0.451	 0.728	 0.204	 0.843
No.5: 0.000	 0.342	 0.696	 0.009	 0.711
No.6: 0.000	 0.625	 0.793	 0.204	 0.850
No.7: 0.000	 0.685	 0.891	 0.231	 0.905
No.8: 0.000	 0.255	 0.630	 0.000	 0.679
No.9: 0.000	 0.109	 0.505	 0.000	 0.646
No.10: 0.000	 0.424	 0.745	 0.009	 0.719
No.11: 0.000	 0.630	 0.793	 0.213	 0.855
No.12: 0.000	 0.408	 0.745	 0.009	 0.722
No.13: 0.000	 0.620	 0.799	 0.176	 0.832
No.14: 0.000	 0.652	 0.815	 0.204	 0.842
No.15: 1.000	 0.745	 0.864	 0.296	 0.961
No.16: 0.000	 0.429	 0.761	 0.083	 0.751
No.17: 1.000	 0.755	 0.891	 0.296	 0.968
No.18: 1.000	 0.522	 0.745	 0.130	 0.830
No.19: 0.000	 0.658	 0.875	 0.204	 0.864
No.20: 0.000	 0.473	 0.761	 0.185	 0.810
No.21: 0.000	 0.668	 0.918	 0.213	 0.857
No.22: 1.000	 0.647	 0.815	 0.296	 0.947
No.23: 1.000	 0.576	 0.777	 0.250	 0.891
No.24: 1.000	 0.489	 0.777	 0.139	 0.813
No.25: 1.000	 0.663	 0.842	 0.287	 0.948
No.26: 1.000	 0.641	 0.728	 0.278	 0.938
No.27: 0.000	 0.647	 0.853	 0.222	 0.884
No.28: 1.000	 0.690	 0.864	 0.287	 0.946
No.29: 1.000	 0.734	 0.848	 0.287	 0.954
No.30: 1.000	 0.625	 0.821	 0.231	 0.915
No.31: 0.000	 0.614	 0.804	 0.176	 0.831
No.32: 1.000	 0.598	 0.783	 0.231	 0.900
No.33: 1.000	 0.663	 0.832	 0.278	 0.945
No.34: 0.000	 0.408	 0.647	 0.056	 0.743
No.35: 0.000	 0.299	 0.663	 0.000	 0.695
No.36: 0.000	 0.250	 0.527	 0.037	 0.685
No.37: 0.000	 0.364	 0.603	 0.037	 0.723
No.38: 1.000	 0.538	 0.755	 0.185	 0.871
No.39: 1.000	 0.592	 0.739	 0.222	 0.896
No.40: 0.000	 0.027	 0.429	 0.000	 0.634
No.41: 0.000	 0.625	 0.848	 0.241	 0.899
No.42: 0.000	 0.071	 0.424	 0.000	 0.638
No.43: 0.000	 0.283	 0.658	 0.000	 0.687
No.44: 0.000	 0.630	 0.891	 0.231	 0.859
No.45: 0.000	 0.489	 0.717	 0.093	 0.763
No.46: 0.000	 0.641	 0.788	 0.213	 0.875
No.47: 0.000	 0.467	 0.668	 0.065	 0.749
No.48: 0.000	 0.576	 0.810	 0.139	 0.812
No.49: 1.000	 0.582	 0.799	 0.157	 0.835
No.50: 1.000	 0.609	 0.837	 0.259	 0.918
No.51: 0.000	 0.000	 0.400	 0.108	 0.347
No.52: 0.000	 0.000	 0.000	 0.000	 0.190
No.53: 0.000	 0.000	 0.400	 0.162	 0.323
No.54: 1.000	 0.400	 0.400	 0.162	 0.618
No.55: 0.000	 0.000	 0.400	 0.216	 0.370
No.56: 0.000	 0.000	 0.400	 0.162	 0.352
No.57: 1.000	 0.600	 0.800	 0.270	 0.829
No.58: 0.000	 0.000	 0.000	 0.000	 0.182
No.59: 1.000	 0.800	 0.800	 0.270	 0.960
No.60: 0.000	 0.000	 0.000	 0.000	 0.167
No.61: 0.000	 0.000	 0.000	 0.000	 0.180
No.62: 0.000	 0.000	 0.000	 0.000	 0.184
No.63: 0.000	 0.000	 0.000	 0.000	 0.162
No.64: 0.000	 0.000	 0.000	 0.054	 0.205
No.65: 0.000	 0.000	 0.000	 0.000	 0.170
No.66: 0.000	 0.200	 0.200	 0.054	 0.277
No.67: 0.000	 0.000	 0.000	 0.000	 0.175
No.68: 0.000	 0.000	 0.000	 0.000	 0.185
