        NN     FT     ST      E       DCG
No.1: 1.000	 0.266	 0.440	 0.102	 0.766
No.2: 1.000	 0.413	 0.609	 0.176	 0.839
No.3: 1.000	 0.565	 0.821	 0.250	 0.907
No.4: 1.000	 0.484	 0.674	 0.213	 0.850
No.5: 0.000	 0.120	 0.332	 0.037	 0.648
No.6: 0.000	 0.380	 0.620	 0.111	 0.747
No.7: 0.000	 0.000	 0.016	 0.000	 0.567
No.8: 0.000	 0.196	 0.565	 0.000	 0.668
No.9: 0.000	 0.413	 0.739	 0.111	 0.775
No.10: 1.000	 0.440	 0.663	 0.176	 0.834
No.11: 0.000	 0.397	 0.641	 0.222	 0.828
No.12: 1.000	 0.245	 0.554	 0.037	 0.705
No.13: 1.000	 0.440	 0.690	 0.185	 0.824
No.14: 1.000	 0.598	 0.766	 0.296	 0.933
No.15: 0.000	 0.299	 0.565	 0.083	 0.717
No.16: 0.000	 0.380	 0.674	 0.111	 0.755
No.17: 1.000	 0.543	 0.799	 0.231	 0.885
No.18: 1.000	 0.391	 0.685	 0.139	 0.819
No.19: 1.000	 0.293	 0.527	 0.102	 0.738
No.20: 0.000	 0.016	 0.049	 0.000	 0.571
No.21: 0.000	 0.527	 0.766	 0.204	 0.836
No.22: 1.000	 0.533	 0.793	 0.269	 0.910
No.23: 0.000	 0.228	 0.473	 0.056	 0.707
No.24: 0.000	 0.022	 0.060	 0.009	 0.583
No.25: 1.000	 0.571	 0.761	 0.222	 0.903
No.26: 1.000	 0.576	 0.799	 0.231	 0.911
No.27: 1.000	 0.516	 0.745	 0.204	 0.877
No.28: 1.000	 0.690	 0.842	 0.278	 0.944
No.29: 1.000	 0.630	 0.772	 0.269	 0.925
No.30: 1.000	 0.489	 0.668	 0.269	 0.894
No.31: 1.000	 0.663	 0.788	 0.287	 0.933
No.32: 0.000	 0.239	 0.511	 0.056	 0.680
No.33: 1.000	 0.598	 0.799	 0.231	 0.887
No.34: 1.000	 0.658	 0.804	 0.296	 0.945
No.35: 1.000	 0.457	 0.728	 0.102	 0.789
No.36: 1.000	 0.522	 0.701	 0.213	 0.865
No.37: 1.000	 0.598	 0.837	 0.259	 0.915
No.38: 0.000	 0.250	 0.527	 0.056	 0.693
No.39: 1.000	 0.255	 0.446	 0.093	 0.738
No.40: 1.000	 0.500	 0.772	 0.176	 0.858
No.41: 1.000	 0.576	 0.750	 0.250	 0.903
No.42: 0.000	 0.266	 0.543	 0.074	 0.720
No.43: 0.000	 0.348	 0.625	 0.120	 0.762
No.44: 1.000	 0.592	 0.788	 0.231	 0.903
No.45: 0.000	 0.293	 0.571	 0.074	 0.714
No.46: 1.000	 0.424	 0.647	 0.213	 0.833
No.47: 0.000	 0.293	 0.658	 0.037	 0.708
No.48: 1.000	 0.554	 0.745	 0.222	 0.866
No.49: 0.000	 0.304	 0.522	 0.120	 0.743
No.50: 1.000	 0.527	 0.685	 0.278	 0.903
No.51: 0.000	 0.130	 0.440	 0.009	 0.660
No.52: 1.000	 0.435	 0.630	 0.204	 0.850
No.53: 1.000	 0.310	 0.592	 0.111	 0.809
No.54: 1.000	 0.505	 0.696	 0.259	 0.894
No.55: 0.000	 0.076	 0.147	 0.028	 0.615
No.56: 1.000	 0.299	 0.484	 0.111	 0.758
No.57: 1.000	 0.478	 0.652	 0.231	 0.856
No.58: 0.000	 0.391	 0.707	 0.120	 0.785
No.59: 0.000	 0.272	 0.565	 0.083	 0.728
No.60: 1.000	 0.364	 0.560	 0.148	 0.816
No.61: 1.000	 0.283	 0.457	 0.139	 0.752
No.62: 1.000	 0.554	 0.755	 0.241	 0.894
No.63: 1.000	 0.516	 0.690	 0.269	 0.890
No.64: 0.000	 0.168	 0.353	 0.056	 0.678
No.65: 0.000	 0.228	 0.489	 0.093	 0.728
No.66: 1.000	 0.565	 0.717	 0.287	 0.910
No.67: 1.000	 0.375	 0.636	 0.148	 0.771
No.68: 1.000	 0.310	 0.500	 0.102	 0.762
No.69: 0.000	 0.065	 0.283	 0.009	 0.629
No.70: 0.000	 0.087	 0.304	 0.028	 0.634
No.71: 1.000	 0.446	 0.761	 0.204	 0.841
No.72: 1.000	 0.560	 0.717	 0.296	 0.914
No.73: 1.000	 0.337	 0.554	 0.167	 0.813
No.74: 1.000	 0.511	 0.788	 0.176	 0.850
No.75: 0.000	 0.348	 0.668	 0.157	 0.797
No.76: 0.000	 0.103	 0.217	 0.046	 0.642
No.77: 0.000	 0.109	 0.283	 0.019	 0.634
No.78: 0.000	 0.413	 0.723	 0.213	 0.838
No.79: 1.000	 0.625	 0.777	 0.231	 0.912
No.80: 1.000	 0.511	 0.728	 0.185	 0.850
No.81: 0.000	 0.000	 0.000	 0.000	 0.164
No.82: 0.000	 0.000	 0.000	 0.000	 0.165
No.83: 0.000	 0.000	 0.000	 0.000	 0.140
No.84: 0.000	 0.000	 0.000	 0.108	 0.265
No.85: 0.000	 0.000	 0.000	 0.108	 0.258
No.86: 0.000	 0.000	 0.200	 0.054	 0.260
No.87: 0.000	 0.000	 0.000	 0.054	 0.260
No.88: 0.000	 0.000	 0.000	 0.000	 0.210
No.89: 0.000	 0.000	 0.000	 0.108	 0.261
No.90: 0.000	 0.000	 0.000	 0.000	 0.144
No.91: 0.000	 0.000	 0.000	 0.000	 0.149
No.92: 0.000	 0.000	 0.000	 0.054	 0.193
No.93: 0.000	 0.000	 0.000	 0.054	 0.224
No.94: 0.000	 0.000	 0.000	 0.054	 0.210
