        NN     FT     ST      E       DCG
No.1: 0.000	 0.223	 0.500	 0.083	 0.693
No.2: 0.000	 0.076	 0.261	 0.037	 0.643
No.3: 0.000	 0.255	 0.457	 0.074	 0.732
No.4: 0.000	 0.217	 0.402	 0.037	 0.685
No.5: 0.000	 0.266	 0.500	 0.111	 0.742
No.6: 0.000	 0.196	 0.375	 0.046	 0.667
No.7: 0.000	 0.163	 0.315	 0.065	 0.659
No.8: 0.000	 0.152	 0.261	 0.065	 0.657
No.9: 0.000	 0.114	 0.239	 0.056	 0.644
No.10: 0.000	 0.190	 0.402	 0.065	 0.684
No.11: 0.000	 0.228	 0.467	 0.028	 0.678
No.12: 1.000	 0.277	 0.484	 0.111	 0.775
No.13: 1.000	 0.255	 0.505	 0.139	 0.775
No.14: 0.000	 0.239	 0.478	 0.056	 0.690
No.15: 0.000	 0.212	 0.402	 0.046	 0.683
No.16: 1.000	 0.136	 0.375	 0.065	 0.705
No.17: 0.000	 0.277	 0.522	 0.065	 0.697
No.18: 0.000	 0.179	 0.342	 0.028	 0.648
No.19: 0.000	 0.239	 0.451	 0.074	 0.705
No.20: 0.000	 0.255	 0.489	 0.102	 0.735
No.21: 0.000	 0.261	 0.489	 0.111	 0.732
No.22: 1.000	 0.261	 0.522	 0.074	 0.735
No.23: 0.000	 0.207	 0.440	 0.009	 0.657
No.24: 1.000	 0.277	 0.484	 0.111	 0.746
No.25: 0.000	 0.196	 0.402	 0.074	 0.697
No.26: 0.000	 0.136	 0.375	 0.074	 0.694
No.27: 0.000	 0.272	 0.451	 0.093	 0.707
No.28: 0.000	 0.174	 0.332	 0.028	 0.649
No.29: 0.000	 0.239	 0.446	 0.065	 0.717
No.30: 0.000	 0.076	 0.185	 0.019	 0.621
No.31: 1.000	 0.250	 0.457	 0.074	 0.726
No.32: 0.000	 0.272	 0.500	 0.130	 0.771
No.33: 1.000	 0.255	 0.489	 0.120	 0.746
No.34: 1.000	 0.277	 0.511	 0.056	 0.732
No.35: 1.000	 0.255	 0.467	 0.083	 0.733
No.36: 0.000	 0.049	 0.174	 0.000	 0.608
No.37: 0.000	 0.163	 0.304	 0.019	 0.655
No.38: 0.000	 0.277	 0.516	 0.074	 0.720
No.39: 0.000	 0.130	 0.332	 0.028	 0.644
No.40: 0.000	 0.223	 0.511	 0.009	 0.674
No.41: 0.000	 0.293	 0.505	 0.111	 0.743
No.42: 0.000	 0.060	 0.190	 0.009	 0.611
No.43: 1.000	 0.266	 0.495	 0.148	 0.780
No.44: 0.000	 0.266	 0.489	 0.046	 0.692
No.45: 0.000	 0.234	 0.435	 0.037	 0.691
No.46: 0.000	 0.266	 0.495	 0.102	 0.727
No.47: 0.000	 0.245	 0.484	 0.065	 0.689
No.48: 0.000	 0.130	 0.250	 0.028	 0.631
No.49: 0.000	 0.196	 0.402	 0.046	 0.668
No.50: 0.000	 0.196	 0.402	 0.056	 0.684
No.51: 0.000	 0.071	 0.239	 0.019	 0.626
No.52: 0.000	 0.163	 0.288	 0.056	 0.658
No.53: 0.000	 0.255	 0.489	 0.019	 0.682
No.54: 0.000	 0.082	 0.255	 0.037	 0.642
No.55: 1.000	 0.071	 0.207	 0.028	 0.650
No.56: 0.000	 0.201	 0.402	 0.009	 0.651
No.57: 0.000	 0.228	 0.402	 0.046	 0.678
No.58: 0.000	 0.250	 0.533	 0.083	 0.708
No.59: 0.000	 0.245	 0.462	 0.065	 0.685
No.60: 0.000	 0.217	 0.451	 0.037	 0.674
No.61: 0.000	 0.234	 0.418	 0.056	 0.680
No.62: 0.000	 0.217	 0.424	 0.074	 0.685
No.63: 1.000	 0.174	 0.321	 0.065	 0.723
No.64: 0.000	 0.125	 0.326	 0.028	 0.650
No.65: 0.000	 0.250	 0.489	 0.074	 0.722
No.66: 0.000	 0.082	 0.255	 0.019	 0.630
No.67: 0.000	 0.185	 0.283	 0.074	 0.682
No.68: 0.000	 0.283	 0.489	 0.130	 0.760
No.69: 0.000	 0.272	 0.522	 0.065	 0.701
No.70: 0.000	 0.277	 0.495	 0.148	 0.758
No.71: 1.000	 0.261	 0.495	 0.111	 0.753
No.72: 0.000	 0.190	 0.348	 0.102	 0.679
No.73: 0.000	 0.261	 0.451	 0.083	 0.709
No.74: 0.000	 0.087	 0.212	 0.019	 0.620
No.75: 1.000	 0.266	 0.505	 0.074	 0.739
No.76: 1.000	 0.261	 0.473	 0.065	 0.730
No.77: 0.000	 0.250	 0.446	 0.037	 0.697
No.78: 1.000	 0.255	 0.489	 0.111	 0.747
No.79: 0.000	 0.245	 0.516	 0.102	 0.707
No.80: 1.000	 0.283	 0.484	 0.120	 0.769
No.81: 0.000	 0.000	 0.000	 0.000	 0.162
No.82: 0.000	 0.000	 0.000	 0.000	 0.177
No.83: 0.000	 0.000	 0.000	 0.000	 0.146
No.84: 0.000	 0.000	 0.000	 0.000	 0.171
No.85: 0.000	 0.000	 0.000	 0.000	 0.147
No.86: 0.000	 0.000	 0.000	 0.054	 0.171
No.87: 0.000	 0.000	 0.000	 0.000	 0.146
No.88: 0.000	 0.000	 0.000	 0.000	 0.150
No.89: 0.000	 0.000	 0.000	 0.000	 0.147
No.90: 0.000	 0.000	 0.000	 0.000	 0.147
No.91: 0.000	 0.000	 0.000	 0.000	 0.151
No.92: 0.000	 0.000	 0.000	 0.000	 0.149
No.93: 0.000	 0.000	 0.000	 0.000	 0.157
No.94: 0.000	 0.000	 0.000	 0.000	 0.147
No.95: 0.000	 0.000	 0.000	 0.000	 0.150
No.96: 0.000	 0.000	 0.000	 0.000	 0.146
No.97: 0.000	 0.000	 0.000	 0.000	 0.159
No.98: 0.000	 0.000	 0.000	 0.000	 0.163
No.99: 0.000	 0.000	 0.000	 0.000	 0.158
No.100: 0.000	 0.000	 0.000	 0.000	 0.148
No.101: 0.000	 0.000	 0.000	 0.000	 0.159
No.102: 0.000	 0.000	 0.000	 0.000	 0.192
No.103: 0.000	 0.000	 0.000	 0.054	 0.193
No.104: 0.000	 0.000	 0.000	 0.000	 0.148
No.105: 0.000	 0.000	 0.000	 0.000	 0.152
No.106: 0.000	 0.000	 0.000	 0.000	 0.159
No.107: 0.000	 0.000	 0.000	 0.000	 0.146
No.108: 0.000	 0.000	 0.000	 0.000	 0.147
No.109: 0.000	 0.000	 0.000	 0.000	 0.165
No.110: 0.000	 0.000	 0.000	 0.000	 0.147
No.111: 0.000	 0.000	 0.000	 0.000	 0.147
No.112: 0.000	 0.000	 0.000	 0.000	 0.148
No.113: 0.000	 0.000	 0.000	 0.000	 0.150
No.114: 0.000	 0.000	 0.000	 0.000	 0.152
No.115: 0.000	 0.000	 0.000	 0.054	 0.185
No.116: 0.000	 0.000	 0.000	 0.000	 0.163
No.117: 0.000	 0.000	 0.000	 0.000	 0.162
No.118: 0.000	 0.000	 0.000	 0.000	 0.158
No.119: 0.000	 0.000	 0.000	 0.000	 0.159
No.120: 0.000	 0.000	 0.000	 0.000	 0.148
No.121: 0.000	 0.000	 0.000	 0.000	 0.148
No.122: 0.000	 0.000	 0.000	 0.000	 0.146
No.123: 0.000	 0.000	 0.000	 0.000	 0.147
No.124: 0.000	 0.000	 0.000	 0.000	 0.154
